,Start,End
0,2019-08-04 09:49:27.044120,2019-08-04 09:49:27.601619
1,2019-08-04 09:49:27.905605,2019-08-04 09:49:28.211962
2,2019-08-04 09:49:28.818806,2019-08-04 09:49:29.347277
3,2019-08-04 09:49:30.612717,2019-08-04 09:49:31.074486
4,2019-08-04 09:49:33.154098,2019-08-04 09:49:33.812747
5,2019-08-04 09:49:34.482954,2019-08-04 09:49:34.611747
6,2019-08-04 09:49:34.643662,2019-08-04 09:49:34.756875
7,2019-08-04 09:49:37.250626,2019-08-04 09:49:37.346371
8,2019-08-04 09:49:40.881513,2019-08-04 09:49:41.155956
9,2019-08-04 09:49:41.682127,2019-08-04 09:49:41.778868
10,2019-08-04 09:49:41.844691,2019-08-04 09:49:41.957393
11,2019-08-04 09:49:42.545583,2019-08-04 09:49:44.385977
12,2019-08-04 09:49:44.946023,2019-08-04 09:49:45.554390
13,2019-08-04 09:49:46.178910,2019-08-04 09:49:46.946372
14,2019-08-04 09:49:47.489817,2019-08-04 09:49:48.177349
15,2019-08-04 09:50:16.883942,2019-08-04 09:50:17.187130
